评论ID,提及品牌,平台,评论内容,点赞数,评论数,转发数,情感倾向,发布时间
CM00028,竞品B,B站,价格有点贵，但是一分钱一分货吧,38,10,3,中性,2023-06-03
CM00029,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,51,10,4,正面,2023-02-13
CM00030,品牌A,B站,感觉最近质量不如以前了，有点失望,45,8,4,负面,2023-04-16
CM00031,竞品B,抖音,国货之光，必须支持,52,11,6,正面,2023-12-05
CM00032,竞品B,B站,感觉最近质量不如以前了，有点失望,48,8,3,负面,2023-05-12
CM00033,品牌A,B站,物流很快，包装也很好，推荐购买,59,9,2,正面,2023-10-18
CM00034,竞品C,抖音,这个品牌的产品真的很好用，支持了好多年了,45,11,2,正面,2023-07-06
CM00035,竞品B,小红书,物流很快，包装也很好，推荐购买,58,8,6,正面,2023-11-04
CM00036,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,57,13,4,正面,2023-12-02
CM00037,竞品C,小红书,用了过敏，不知道是不是正品,53,11,5,负面,2023-07-07
CM00038,竞品C,B站,价格有点贵，但是一分钱一分货吧,51,5,4,中性,2023-06-19
CM00039,竞品B,小红书,什么时候出新品啊，等好久了,49,9,7,正面,2023-03-24
CM00040,竞品B,小红书,性价比很高，比XX品牌好多了,54,10,8,正面,2023-02-12
CM00041,竞品B,抖音,什么时候出新品啊，等好久了,55,5,4,正面,2023-09-05
CM00042,竞品C,抖音,什么时候出新品啊，等好久了,49,7,7,正面,2023-08-10
CM00043,竞品C,小红书,什么时候出新品啊，等好久了,52,10,12,正面,2023-01-26
CM00044,竞品B,B站,性价比很高，比XX品牌好多了,45,8,5,正面,2023-08-07
CM00045,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,50,7,6,正面,2023-03-22
CM00046,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,57,9,5,正面,2023-07-12
CM00047,竞品B,小红书,国货之光，必须支持,57,7,6,正面,2023-05-03
CM00048,品牌A,微博,用了过敏，不知道是不是正品,56,9,4,负面,2023-06-20
CM00049,品牌A,小红书,客服态度太差了，再也不会买了,47,11,5,负面,2023-06-06
CM00050,竞品B,小红书,性价比很高，比XX品牌好多了,50,15,5,正面,2023-05-07
CM00051,品牌A,微博,国货之光，必须支持,46,8,9,正面,2023-03-31
CM00052,竞品C,小红书,什么时候出新品啊，等好久了,34,12,9,正面,2023-06-19
CM00053,竞品C,微博,客服态度太差了，再也不会买了,53,11,2,负面,2023-01-06
CM00054,竞品C,B站,用了过敏，不知道是不是正品,60,5,6,负面,2023-01-03
CM00055,竞品C,抖音,这个品牌的产品真的很好用，支持了好多年了,40,6,6,正面,2023-12-22
CM00056,竞品B,小红书,感觉最近质量不如以前了，有点失望,41,5,5,负面,2023-02-20
CM00057,竞品C,B站,客服态度太差了，再也不会买了,57,11,3,负面,2023-03-05
CM00058,竞品C,抖音,颜值很高，就是有点不耐用,42,10,7,中性,2023-02-24
CM00059,竞品B,小红书,性价比很高，比XX品牌好多了,53,13,10,正面,2023-08-11
CM00060,品牌A,微博,这个品牌的产品真的很好用，支持了好多年了,49,13,10,正面,2023-01-16
CM00061,品牌A,小红书,颜值很高，就是有点不耐用,47,10,5,中性,2023-04-14
CM00062,竞品C,抖音,颜值很高，就是有点不耐用,51,14,7,中性,2023-10-02
CM00063,竞品C,微博,价格有点贵，但是一分钱一分货吧,48,10,7,中性,2023-12-17
CM00064,竞品C,微博,感觉最近质量不如以前了，有点失望,42,12,3,负面,2023-04-02
CM00065,竞品C,微博,价格有点贵，但是一分钱一分货吧,54,11,9,中性,2023-06-08
CM00066,竞品B,小红书,什么时候出新品啊，等好久了,42,5,4,正面,2023-10-07
CM00067,竞品C,抖音,国货之光，必须支持,43,9,1,正面,2023-09-11
CM00068,竞品C,小红书,颜值很高，就是有点不耐用,54,11,6,中性,2023-09-25
CM00069,品牌A,小红书,颜值很高，就是有点不耐用,46,7,6,中性,2023-09-25
CM00070,品牌A,微博,性价比很高，比XX品牌好多了,45,11,4,正面,2023-02-26
CM00071,竞品C,微博,性价比很高，比XX品牌好多了,48,12,6,正面,2023-03-11
CM00072,竞品C,微博,感觉最近质量不如以前了，有点失望,43,13,2,负面,2023-02-27
CM00073,竞品B,B站,颜值很高，就是有点不耐用,45,9,3,中性,2023-06-02
CM00074,竞品C,小红书,这个品牌的产品真的很好用，支持了好多年了,52,9,4,正面,2023-06-18
CM00075,竞品B,微博,感觉最近质量不如以前了，有点失望,54,10,5,负面,2023-05-21
CM00076,竞品B,小红书,性价比很高，比XX品牌好多了,61,15,7,正面,2023-06-17
CM00077,品牌A,微博,什么时候出新品啊，等好久了,45,16,5,正面,2023-02-04
CM00078,竞品B,B站,颜值很高，就是有点不耐用,44,14,4,中性,2023-02-22
CM00079,竞品B,微博,客服态度太差了，再也不会买了,61,12,6,负面,2023-08-08
CM00080,竞品B,微博,性价比很高，比XX品牌好多了,46,11,4,正面,2023-03-31
CM00081,竞品B,B站,这个品牌的产品真的很好用，支持了好多年了,49,13,6,正面,2023-03-29
CM00082,竞品B,B站,国货之光，必须支持,51,13,5,正面,2023-03-02
CM00083,品牌A,小红书,感觉最近质量不如以前了，有点失望,37,7,10,负面,2023-05-13
CM00084,竞品C,抖音,什么时候出新品啊，等好久了,41,10,1,正面,2023-07-13
CM00085,竞品C,B站,用了过敏，不知道是不是正品,37,10,4,负面,2023-07-30
CM00086,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,42,10,5,正面,2023-05-23
CM00087,品牌A,小红书,用了过敏，不知道是不是正品,54,10,5,负面,2023-12-29
CM00088,竞品C,小红书,性价比很高，比XX品牌好多了,40,9,2,正面,2023-11-27
CM00089,竞品C,小红书,感觉最近质量不如以前了，有点失望,59,11,3,负面,2023-05-29
CM00090,品牌A,小红书,感觉最近质量不如以前了，有点失望,66,10,8,负面,2023-09-08
CM00091,竞品C,小红书,这个品牌的产品真的很好用，支持了好多年了,43,9,5,正面,2023-06-18
CM00092,竞品B,B站,性价比很高，比XX品牌好多了,72,14,5,正面,2023-10-14
CM00093,品牌A,微博,客服态度太差了，再也不会买了,48,8,1,负面,2023-04-08
CM00094,竞品C,小红书,价格有点贵，但是一分钱一分货吧,46,8,7,中性,2023-07-12
CM00095,品牌A,微博,什么时候出新品啊，等好久了,46,7,8,正面,2023-08-04
CM00096,竞品B,B站,客服态度太差了，再也不会买了,58,11,5,负面,2023-04-10
CM00097,品牌A,小红书,用了过敏，不知道是不是正品,54,9,6,负面,2023-02-08
CM00098,品牌A,抖音,性价比很高，比XX品牌好多了,47,9,5,正面,2023-04-11
CM00099,竞品B,抖音,颜值很高，就是有点不耐用,48,5,4,中性,2023-05-21
CM00100,竞品C,B站,什么时候出新品啊，等好久了,48,10,7,正面,2023-07-17
CM00101,品牌A,抖音,这个品牌的产品真的很好用，支持了好多年了,46,12,6,正面,2023-03-18
CM00102,竞品C,微博,国货之光，必须支持,50,9,2,正面,2023-06-14
CM00103,竞品B,小红书,什么时候出新品啊，等好久了,54,16,5,正面,2023-09-21
CM00104,竞品C,小红书,物流很快，包装也很好，推荐购买,49,16,4,正面,2023-05-29
CM00105,竞品C,小红书,颜值很高，就是有点不耐用,52,11,7,中性,2023-06-28
CM00106,竞品C,微博,国货之光，必须支持,49,8,4,正面,2023-06-11
CM00107,竞品B,B站,颜值很高，就是有点不耐用,48,4,4,中性,2023-08-21
CM00108,竞品C,B站,物流很快，包装也很好，推荐购买,45,8,6,正面,2023-06-01
CM00109,品牌A,B站,价格有点贵，但是一分钱一分货吧,50,13,5,中性,2023-10-02
CM00110,竞品C,抖音,国货之光，必须支持,56,6,4,正面,2023-08-30
CM00111,竞品C,微博,物流很快，包装也很好，推荐购买,56,8,4,正面,2023-09-07
CM00112,竞品B,B站,感觉最近质量不如以前了，有点失望,47,12,5,负面,2023-12-10
CM00113,品牌A,抖音,国货之光，必须支持,49,8,5,正面,2023-04-08
CM00114,竞品B,抖音,用了过敏，不知道是不是正品,35,8,4,负面,2023-03-24
CM00115,品牌A,微博,什么时候出新品啊，等好久了,51,7,3,正面,2023-06-27
CM00116,品牌A,抖音,颜值很高，就是有点不耐用,49,10,10,中性,2023-12-06
CM00117,竞品C,微博,客服态度太差了，再也不会买了,59,4,9,负面,2023-02-09
CM00118,竞品C,微博,性价比很高，比XX品牌好多了,46,8,4,正面,2023-09-29
CM00119,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,45,8,4,正面,2023-08-18
CM00120,竞品B,抖音,物流很快，包装也很好，推荐购买,56,17,5,正面,2023-05-14
CM00121,品牌A,微博,用了过敏，不知道是不是正品,60,12,5,负面,2023-12-22
CM00122,品牌A,抖音,用了过敏，不知道是不是正品,57,12,6,负面,2023-04-24
CM00123,竞品B,抖音,价格有点贵，但是一分钱一分货吧,57,10,3,中性,2023-06-07
CM00124,竞品C,B站,客服态度太差了，再也不会买了,47,6,9,负面,2023-01-08
CM00125,竞品B,抖音,性价比很高，比XX品牌好多了,58,11,4,正面,2023-11-26
CM00126,品牌A,微博,客服态度太差了，再也不会买了,49,7,5,负面,2023-08-30
CM00127,竞品C,B站,性价比很高，比XX品牌好多了,43,9,3,正面,2023-03-31
CM00128,竞品C,抖音,性价比很高，比XX品牌好多了,59,12,6,正面,2023-07-24
CM00129,品牌A,抖音,什么时候出新品啊，等好久了,51,13,2,正面,2023-01-24
CM00130,竞品B,小红书,物流很快，包装也很好，推荐购买,65,11,2,正面,2023-05-31
CM00131,竞品B,B站,价格有点贵，但是一分钱一分货吧,49,12,2,中性,2023-09-18
CM00132,品牌A,B站,客服态度太差了，再也不会买了,48,8,5,负面,2023-09-24
CM00133,品牌A,B站,物流很快，包装也很好，推荐购买,47,7,5,正面,2023-10-23
CM00134,竞品B,微博,价格有点贵，但是一分钱一分货吧,75,15,3,中性,2023-03-18
CM00135,竞品B,抖音,物流很快，包装也很好，推荐购买,43,11,4,正面,2023-10-24
CM00136,竞品B,微博,性价比很高，比XX品牌好多了,47,5,5,正面,2023-05-03
CM00137,竞品C,抖音,性价比很高，比XX品牌好多了,49,10,4,正面,2023-11-22
CM00138,竞品C,小红书,什么时候出新品啊，等好久了,68,9,4,正面,2023-10-22
CM00139,竞品C,微博,国货之光，必须支持,54,12,2,正面,2023-03-07
CM00140,竞品C,微博,什么时候出新品啊，等好久了,42,9,8,正面,2023-01-15
CM00141,竞品B,小红书,什么时候出新品啊，等好久了,49,14,0,正面,2023-02-16
CM00142,竞品B,小红书,感觉最近质量不如以前了，有点失望,53,7,4,负面,2023-05-22
CM00143,品牌A,B站,用了过敏，不知道是不是正品,49,6,8,负面,2023-01-28
CM00144,品牌A,抖音,这个品牌的产品真的很好用，支持了好多年了,52,15,4,正面,2023-05-28
CM00145,竞品C,B站,什么时候出新品啊，等好久了,73,7,2,正面,2023-04-01
CM00146,竞品C,抖音,价格有点贵，但是一分钱一分货吧,74,13,3,中性,2023-09-14
CM00147,竞品C,B站,性价比很高，比XX品牌好多了,40,19,3,正面,2023-06-25
CM00148,竞品B,微博,颜值很高，就是有点不耐用,43,13,4,中性,2023-04-20
CM00149,竞品B,抖音,物流很快，包装也很好，推荐购买,52,7,7,正面,2023-08-21
CM00150,竞品B,微博,客服态度太差了，再也不会买了,51,12,8,负面,2023-09-30
CM00151,品牌A,微博,物流很快，包装也很好，推荐购买,60,10,7,正面,2023-06-21
CM00152,竞品B,B站,用了过敏，不知道是不是正品,47,11,3,负面,2023-04-10
CM00153,品牌A,微博,感觉最近质量不如以前了，有点失望,52,7,5,负面,2023-10-27
CM00154,品牌A,小红书,什么时候出新品啊，等好久了,62,9,7,正面,2023-03-25
CM00155,竞品C,抖音,客服态度太差了，再也不会买了,44,17,4,负面,2023-11-30
CM00156,品牌A,微博,国货之光，必须支持,50,13,3,正面,2023-02-22
CM00157,品牌A,微博,客服态度太差了，再也不会买了,42,9,6,负面,2023-02-15
CM00158,竞品B,小红书,什么时候出新品啊，等好久了,52,9,5,正面,2023-07-13
CM00159,竞品B,微博,国货之光，必须支持,57,6,6,正面,2023-10-01
CM00160,竞品C,微博,物流很快，包装也很好，推荐购买,37,14,6,正面,2023-07-09
CM00161,品牌A,小红书,感觉最近质量不如以前了，有点失望,51,4,6,负面,2023-01-05
CM00162,品牌A,抖音,感觉最近质量不如以前了，有点失望,56,8,4,负面,2023-08-08
CM00163,竞品B,微博,国货之光，必须支持,51,11,3,正面,2023-12-26
CM00164,竞品C,抖音,用了过敏，不知道是不是正品,38,9,5,负面,2023-06-27
CM00165,竞品C,微博,颜值很高，就是有点不耐用,45,9,5,中性,2023-11-09
CM00166,竞品C,微博,用了过敏，不知道是不是正品,47,7,6,负面,2023-11-06
CM00167,竞品B,小红书,颜值很高，就是有点不耐用,66,10,5,中性,2023-11-16
CM00168,品牌A,小红书,客服态度太差了，再也不会买了,46,15,8,负面,2023-02-08
CM00169,品牌A,微博,客服态度太差了，再也不会买了,48,10,6,负面,2023-11-08
CM00170,竞品C,B站,客服态度太差了，再也不会买了,46,14,4,负面,2023-07-30
CM00171,竞品C,微博,这个品牌的产品真的很好用，支持了好多年了,46,8,3,正面,2023-05-23
CM00172,竞品C,小红书,物流很快，包装也很好，推荐购买,48,12,6,正面,2023-02-08
CM00173,竞品B,B站,颜值很高，就是有点不耐用,60,7,3,中性,2023-06-19
CM00174,竞品C,抖音,客服态度太差了，再也不会买了,40,9,6,负面,2023-08-07
CM00175,品牌A,小红书,价格有点贵，但是一分钱一分货吧,56,14,5,中性,2023-04-24
CM00176,竞品C,B站,感觉最近质量不如以前了，有点失望,43,10,3,负面,2023-10-09
CM00177,竞品B,B站,性价比很高，比XX品牌好多了,62,13,8,正面,2023-03-24
CM00178,竞品B,B站,这个品牌的产品真的很好用，支持了好多年了,48,6,2,正面,2023-07-05
CM00179,品牌A,小红书,客服态度太差了，再也不会买了,54,8,2,负面,2023-05-24
CM00180,竞品B,B站,客服态度太差了，再也不会买了,45,12,9,负面,2023-04-01
CM00181,品牌A,抖音,这个品牌的产品真的很好用，支持了好多年了,51,8,9,正面,2023-10-31
CM00182,竞品C,B站,物流很快，包装也很好，推荐购买,59,10,5,正面,2023-03-18
CM00183,竞品C,微博,国货之光，必须支持,50,7,8,正面,2023-12-01
CM00184,竞品B,小红书,感觉最近质量不如以前了，有点失望,45,8,9,负面,2023-07-16
CM00185,竞品C,B站,价格有点贵，但是一分钱一分货吧,51,12,5,中性,2023-06-11
CM00186,竞品C,小红书,客服态度太差了，再也不会买了,34,7,7,负面,2023-05-01
CM00187,竞品C,微博,性价比很高，比XX品牌好多了,55,6,3,正面,2023-09-20
CM00188,品牌A,小红书,用了过敏，不知道是不是正品,58,12,1,负面,2023-06-10
CM00189,竞品C,B站,什么时候出新品啊，等好久了,53,16,6,正面,2023-01-28
CM00190,品牌A,微博,这个品牌的产品真的很好用，支持了好多年了,52,9,6,正面,2023-09-02
CM00191,品牌A,抖音,价格有点贵，但是一分钱一分货吧,37,5,9,中性,2023-01-05
CM00192,品牌A,小红书,物流很快，包装也很好，推荐购买,42,8,3,正面,2023-02-18
CM00193,竞品B,小红书,用了过敏，不知道是不是正品,52,10,2,负面,2023-09-13
CM00194,竞品C,小红书,这个品牌的产品真的很好用，支持了好多年了,54,2,6,正面,2023-03-20
CM00195,竞品B,微博,什么时候出新品啊，等好久了,58,10,5,正面,2023-08-12
CM00196,竞品C,小红书,客服态度太差了，再也不会买了,44,11,6,负面,2023-12-10
CM00197,竞品C,B站,国货之光，必须支持,42,12,4,正面,2023-08-17
CM00198,竞品B,B站,颜值很高，就是有点不耐用,55,9,11,中性,2023-03-15
CM00199,品牌A,抖音,感觉最近质量不如以前了，有点失望,51,14,8,负面,2023-12-23
CM00200,竞品C,抖音,性价比很高，比XX品牌好多了,58,6,5,正面,2023-08-22
CM00201,竞品B,B站,性价比很高，比XX品牌好多了,55,9,5,正面,2023-05-13
CM00202,竞品C,B站,这个品牌的产品真的很好用，支持了好多年了,51,15,6,正面,2023-02-16
CM00203,竞品B,微博,性价比很高，比XX品牌好多了,51,7,4,正面,2023-04-14
CM00204,品牌A,小红书,性价比很高，比XX品牌好多了,59,10,4,正面,2023-01-15
CM00205,竞品B,B站,感觉最近质量不如以前了，有点失望,46,9,5,负面,2023-12-31
CM00206,品牌A,微博,价格有点贵，但是一分钱一分货吧,60,18,5,中性,2023-02-14
CM00207,竞品C,B站,物流很快，包装也很好，推荐购买,53,8,5,正面,2023-09-24
CM00208,竞品B,B站,什么时候出新品啊，等好久了,51,11,5,正面,2023-07-06
CM00209,竞品C,抖音,这个品牌的产品真的很好用，支持了好多年了,57,10,4,正面,2023-06-12
CM00210,品牌A,小红书,客服态度太差了，再也不会买了,47,9,4,负面,2023-01-01
CM00211,品牌A,小红书,用了过敏，不知道是不是正品,37,10,6,负面,2023-03-25
CM00212,竞品B,微博,感觉最近质量不如以前了，有点失望,42,9,1,负面,2023-12-06
CM00213,竞品B,抖音,用了过敏，不知道是不是正品,50,12,5,负面,2023-01-04
CM00214,品牌A,小红书,什么时候出新品啊，等好久了,54,11,3,正面,2023-09-16
CM00215,竞品B,小红书,物流很快，包装也很好，推荐购买,46,5,3,正面,2023-05-25
CM00216,竞品C,抖音,性价比很高，比XX品牌好多了,55,13,5,正面,2023-06-05
CM00217,品牌A,微博,感觉最近质量不如以前了，有点失望,53,12,8,负面,2023-05-30
CM00218,品牌A,抖音,国货之光，必须支持,48,6,8,正面,2023-09-10
CM00219,品牌A,抖音,颜值很高，就是有点不耐用,62,11,6,中性,2023-01-07
CM00220,竞品C,微博,感觉最近质量不如以前了，有点失望,36,13,3,负面,2023-04-22
CM00221,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,69,8,8,正面,2023-10-03
CM00222,竞品C,小红书,颜值很高，就是有点不耐用,52,14,6,中性,2023-08-19
CM00223,品牌A,小红书,客服态度太差了，再也不会买了,52,12,6,负面,2023-05-04
CM00224,竞品C,微博,客服态度太差了，再也不会买了,48,14,3,负面,2023-06-15
CM00225,竞品B,小红书,价格有点贵，但是一分钱一分货吧,59,7,9,中性,2023-05-25
CM00226,竞品B,B站,什么时候出新品啊，等好久了,49,12,6,正面,2023-06-13
CM00227,竞品B,抖音,客服态度太差了，再也不会买了,47,10,9,负面,2023-01-16
CM00228,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,56,9,4,正面,2023-05-24
CM00229,品牌A,抖音,性价比很高，比XX品牌好多了,44,3,2,正面,2023-12-22
CM00230,竞品B,微博,感觉最近质量不如以前了，有点失望,72,12,2,负面,2023-01-03
CM00231,竞品C,微博,感觉最近质量不如以前了，有点失望,53,7,9,负面,2023-07-12
CM00232,品牌A,小红书,用了过敏，不知道是不是正品,51,5,3,负面,2023-02-23
CM00233,竞品C,抖音,价格有点贵，但是一分钱一分货吧,42,8,7,中性,2023-09-08
CM00234,竞品C,B站,用了过敏，不知道是不是正品,54,7,4,负面,2023-02-01
CM00235,竞品B,小红书,什么时候出新品啊，等好久了,65,12,3,正面,2023-02-28
CM00236,竞品B,抖音,性价比很高，比XX品牌好多了,66,12,3,正面,2023-09-12
CM00237,品牌A,B站,性价比很高，比XX品牌好多了,45,10,3,正面,2023-02-01
CM00238,品牌A,小红书,价格有点贵，但是一分钱一分货吧,62,9,4,中性,2023-01-19
CM00239,竞品C,B站,用了过敏，不知道是不是正品,45,8,7,负面,2023-04-11
CM00240,竞品C,小红书,什么时候出新品啊，等好久了,50,8,6,正面,2023-08-15
CM00241,品牌A,抖音,价格有点贵，但是一分钱一分货吧,54,7,6,中性,2023-07-05
CM00242,竞品C,B站,价格有点贵，但是一分钱一分货吧,43,11,4,中性,2023-09-29
CM00243,竞品B,小红书,颜值很高，就是有点不耐用,60,12,2,中性,2023-10-15
CM00244,竞品B,抖音,颜值很高，就是有点不耐用,46,10,4,中性,2023-08-18
CM00245,竞品B,抖音,性价比很高，比XX品牌好多了,50,12,2,正面,2023-08-11
CM00246,竞品C,微博,物流很快，包装也很好，推荐购买,45,11,3,正面,2023-07-29
CM00247,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,47,10,8,正面,2023-06-09
CM00248,竞品C,抖音,物流很快，包装也很好，推荐购买,48,18,6,正面,2023-04-20
CM00249,竞品C,抖音,感觉最近质量不如以前了，有点失望,51,14,7,负面,2023-02-15
CM00250,竞品C,抖音,国货之光，必须支持,59,7,1,正面,2023-09-03
CM00251,竞品C,微博,性价比很高，比XX品牌好多了,48,11,1,正面,2023-03-08
CM00252,竞品B,抖音,价格有点贵，但是一分钱一分货吧,47,6,4,中性,2023-11-28
CM00253,品牌A,抖音,价格有点贵，但是一分钱一分货吧,53,9,6,中性,2023-12-17
CM00254,竞品B,抖音,用了过敏，不知道是不是正品,53,11,4,负面,2023-03-17
CM00255,品牌A,抖音,什么时候出新品啊，等好久了,51,9,5,正面,2023-09-03
CM00256,竞品B,B站,价格有点贵，但是一分钱一分货吧,40,7,12,中性,2023-08-03
CM00257,品牌A,小红书,性价比很高，比XX品牌好多了,73,11,3,正面,2023-02-12
CM00258,竞品C,B站,这个品牌的产品真的很好用，支持了好多年了,56,16,6,正面,2023-02-14
CM00259,竞品C,小红书,用了过敏，不知道是不是正品,60,5,7,负面,2023-05-18
CM00260,品牌A,B站,价格有点贵，但是一分钱一分货吧,52,14,3,中性,2023-08-28
CM00261,品牌A,微博,感觉最近质量不如以前了，有点失望,49,11,4,负面,2023-05-14
CM00262,竞品C,微博,客服态度太差了，再也不会买了,56,12,8,负面,2023-05-13
CM00263,品牌A,微博,国货之光，必须支持,48,11,4,正面,2023-06-22
CM00264,竞品B,小红书,什么时候出新品啊，等好久了,58,11,4,正面,2023-09-04
CM00265,竞品C,抖音,物流很快，包装也很好，推荐购买,47,8,4,正面,2023-06-23
CM00266,竞品B,微博,颜值很高，就是有点不耐用,46,10,9,中性,2023-12-22
CM00267,竞品B,小红书,颜值很高，就是有点不耐用,55,12,4,中性,2023-07-18
CM00268,品牌A,微博,国货之光，必须支持,47,8,7,正面,2023-06-12
CM00269,竞品C,微博,这个品牌的产品真的很好用，支持了好多年了,44,8,5,正面,2023-11-25
CM00270,竞品B,微博,物流很快，包装也很好，推荐购买,50,9,5,正面,2023-04-07
CM00271,品牌A,抖音,用了过敏，不知道是不是正品,42,11,8,负面,2023-06-05
CM00272,竞品C,抖音,用了过敏，不知道是不是正品,49,11,4,负面,2023-12-25
CM00273,竞品B,微博,感觉最近质量不如以前了，有点失望,54,9,9,负面,2023-08-25
CM00274,品牌A,小红书,用了过敏，不知道是不是正品,49,6,5,负面,2023-08-25
CM00275,竞品C,小红书,国货之光，必须支持,52,6,4,正面,2023-10-15
CM00276,竞品C,抖音,什么时候出新品啊，等好久了,51,12,7,正面,2023-08-28
CM00277,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,50,9,5,正面,2023-04-22
CM00278,竞品C,B站,性价比很高，比XX品牌好多了,53,8,8,正面,2023-04-08
CM00279,竞品B,B站,这个品牌的产品真的很好用，支持了好多年了,43,15,6,正面,2023-05-06
CM00280,竞品C,B站,什么时候出新品啊，等好久了,59,12,9,正面,2023-08-06
CM00281,品牌A,抖音,颜值很高，就是有点不耐用,46,9,3,中性,2023-04-08
CM00282,竞品B,B站,物流很快，包装也很好，推荐购买,48,8,2,正面,2023-04-03
CM00283,竞品C,抖音,这个品牌的产品真的很好用，支持了好多年了,44,7,1,正面,2023-07-31
CM00284,竞品B,微博,性价比很高，比XX品牌好多了,42,15,4,正面,2023-07-27
CM00285,竞品B,微博,什么时候出新品啊，等好久了,47,14,7,正面,2023-10-08
CM00286,品牌A,抖音,用了过敏，不知道是不是正品,50,18,8,负面,2023-02-25
CM00287,竞品B,抖音,客服态度太差了，再也不会买了,42,11,6,负面,2023-08-17
CM00288,竞品C,抖音,这个品牌的产品真的很好用，支持了好多年了,56,9,4,正面,2023-01-19
CM00289,竞品C,B站,性价比很高，比XX品牌好多了,51,7,4,正面,2023-12-04
CM00290,竞品C,抖音,国货之光，必须支持,37,10,6,正面,2023-04-19
CM00291,竞品B,微博,客服态度太差了，再也不会买了,39,14,2,负面,2023-11-28
CM00292,竞品B,小红书,物流很快，包装也很好，推荐购买,56,12,8,正面,2023-12-10
CM00293,竞品C,微博,价格有点贵，但是一分钱一分货吧,60,15,10,中性,2023-01-24
CM00294,竞品C,B站,性价比很高，比XX品牌好多了,55,9,8,正面,2023-11-05
CM00295,竞品C,抖音,感觉最近质量不如以前了，有点失望,37,10,9,负面,2023-09-24
CM00296,竞品C,小红书,用了过敏，不知道是不是正品,54,9,7,负面,2023-12-04
CM00297,竞品B,微博,用了过敏，不知道是不是正品,43,21,7,负面,2023-02-16
CM00298,竞品B,B站,国货之光，必须支持,52,10,5,正面,2023-02-04
CM00299,竞品C,微博,物流很快，包装也很好，推荐购买,49,5,8,正面,2023-04-03
CM00300,竞品B,小红书,国货之光，必须支持,38,11,9,正面,2023-12-14
CM00301,竞品B,抖音,国货之光，必须支持,49,17,6,正面,2023-07-11
CM00302,竞品C,B站,国货之光，必须支持,44,16,7,正面,2023-07-24
CM00303,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,49,9,5,正面,2023-04-26
CM00304,竞品B,小红书,价格有点贵，但是一分钱一分货吧,56,13,5,中性,2023-02-07
